taxid,ko
1642436,K24320
1642458,K24320
300175,K24320
300180,K24320
1437126,K24320
1518603,K24320
2010246,K24320
2169995,K24320
55096,K24320
55097,K24320
649188,K24320
573900,K24320
11620,K24320
11623,K24320
11620,K25125
11623,K25125
11620,K25319
11623,K25319
883876,K25301
1134579,K25301
743685,K25301
1588685,K25301
1535802,K25301
1642436,K25301
1642458,K25301
2169991,K25301
49891,K25301
11628,K25301
45219,K25301
2907957,K25301
300175,K25301
300180,K25301
1437126,K25301
2010246,K25301
2169995,K25301
55096,K25301
2059312,K25301
2905917,K25301
55097,K25301
42764,K25301
192848,K25301
208899,K25301
2886894,K25301
144752,K25301
499556,K25301
45223,K25301
46919,K25301
45220,K25301
45221,K25301
2905947,K25301
2267561,K25301
649188,K25301
573900,K25301
11620,K25301
11623,K25301
11631,K25301
883876,K25302
1134579,K25302
743685,K25302
1588685,K25302
1535802,K25302
1642436,K25302
1642458,K25302
2169991,K25302
11628,K25302
45219,K25302
49891,K25302
2907957,K25302
2905917,K25302
300175,K25302
300180,K25302
1437126,K25302
1518603,K25302
2010246,K25302
2169995,K25302
55096,K25302
55097,K25302
2059312,K25302
42764,K25302
2886894,K25302
144752,K25302
192848,K25302
208899,K25302
499556,K25302
45223,K25302
46919,K25302
45220,K25302
45221,K25302
2905947,K25302
649188,K25302
573900,K25302
11620,K25302
11631,K25302
883876,K25303
1134579,K25303
743685,K25303
1588685,K25303
1535802,K25303
1642436,K25303
1642458,K25303
2169991,K25303
11628,K25303
45219,K25303
49891,K25303
2907957,K25303
2905917,K25303
300175,K25303
300180,K25303
1437126,K25303
2010246,K25303
2169995,K25303
55096,K25303
55097,K25303
2059312,K25303
42764,K25303
2886894,K25303
144752,K25303
192848,K25303
208899,K25303
499556,K25303
45223,K25303
46919,K25303
45220,K25303
45221,K25303
2905947,K25303
649188,K25303
573900,K25303
11620,K25303
11623,K25303
11631,K25303
49891,K24322
2905917,K24322
144752,K24322
45220,K24322
2905947,K24322
2169991,K24321
11628,K24321
45219,K24321
2907957,K24321
