type,taxid
-ssRN viruses,1848042
Other viruses,1848042
dsDN-RT viruses,1848169
ssRN-RT viruses,1848169
dsRN viruses,1848169
+ssRN viruses,1848169
-ssRN viruses,1848169
Other viruses,1848169
dsDN-RT viruses,1849542
ssRN-RT viruses,1849542
dsRN viruses,1849542
+ssRN viruses,1849542
-ssRN viruses,1849542
Other viruses,1849542
dsDN-RT viruses,1849543
ssRN-RT viruses,1849543
dsRN viruses,1849543
+ssRN viruses,1849543
-ssRN viruses,1849543
Other viruses,1849543
dsDN-RT viruses,1150353
ssRN-RT viruses,1150353
dsRN viruses,1150353
+ssRN viruses,1150353
-ssRN viruses,1150353
Other viruses,1150353
dsDN-RT viruses,1211481
ssRN-RT viruses,1211481
dsRN viruses,1211481
+ssRN viruses,1211481
-ssRN viruses,1211481
Other viruses,1211481
dsDN-RT viruses,12450
ssRN-RT viruses,12450
dsRN viruses,12450
+ssRN viruses,12450
-ssRN viruses,12450
Other viruses,12450
dsDN-RT viruses,1181310
ssRN-RT viruses,1181310
dsRN viruses,1181310
+ssRN viruses,1181310
-ssRN viruses,1181310
Other viruses,1181310
dsDN-RT viruses,862943
ssRN-RT viruses,862943
dsRN viruses,862943
+ssRN viruses,862943
-ssRN viruses,862943
Other viruses,862943
dsDN-RT viruses,2305250
ssRN-RT viruses,2305250
dsRN viruses,2305250
+ssRN viruses,2305250
-ssRN viruses,2305250
Other viruses,2305250
dsDN-RT viruses,1934322
ssRN-RT viruses,1934322
dsRN viruses,1934322
+ssRN viruses,1934322
-ssRN viruses,1934322
Other viruses,1934322
dsDN-RT viruses,2305465
ssRN-RT viruses,2305465
dsRN viruses,2305465
+ssRN viruses,2305465
-ssRN viruses,2305465
Other viruses,2305465
dsDN-RT viruses,1670975
ssRN-RT viruses,1670975
dsRN viruses,1670975
+ssRN viruses,1670975
-ssRN viruses,1670975
Other viruses,1670975
dsDN-RT viruses,1148496
ssRN-RT viruses,1148496
dsRN viruses,1148496
+ssRN viruses,1148496
-ssRN viruses,1148496
Other viruses,1148496
dsDN-RT viruses,2094187
ssRN-RT viruses,2094187
dsRN viruses,2094187
+ssRN viruses,2094187
-ssRN viruses,2094187
Other viruses,2094187
+ssRN viruses,39748
+ssRN viruses,39749
+ssRN viruses,40281
+ssRN viruses,40282
+ssRN viruses,106962
+ssRN viruses,245101
+ssRN viruses,1284208
+ssRN viruses,1640379
+ssRN viruses,1523858
+ssRN viruses,2032989
+ssRN viruses,1074325
+ssRN viruses,1423347
+ssRN viruses,1129873
+ssRN viruses,1922393
+ssRN viruses,1922678
+ssRN viruses,2219105
+ssRN viruses,1926644
+ssRN viruses,1923718
+ssRN viruses,2732506
+ssRN viruses,76804
+ssRN viruses,76803
+ssRN viruses,2499609
+ssRN viruses,2499618
+ssRN viruses,2012619
+ssRN viruses,2499610
+ssRN viruses,2499620
+ssRN viruses,11047
+ssRN viruses,2499611
+ssRN viruses,2499621
+ssRN viruses,1965064
+ssRN viruses,2499612
+ssRN viruses,2499622
+ssRN viruses,38143
+ssRN viruses,2499613
+ssRN viruses,2501964
+ssRN viruses,1965068
+ssRN viruses,2501965
+ssRN viruses,1737586
+ssRN viruses,2501966
+ssRN viruses,2682610
+ssRN viruses,2499614
+ssRN viruses,2501969
+ssRN viruses,1936072
+ssRN viruses,2499615
+ssRN viruses,2501947
+ssRN viruses,1965063
+ssRN viruses,2501948
+ssRN viruses,1965065
+ssRN viruses,2499623
+ssRN viruses,1658615
+ssRN viruses,2499616
+ssRN viruses,2501999
+ssRN viruses,1823757
+ssRN viruses,2502000
+ssRN viruses,1546177
+ssRN viruses,2499617
+ssRN viruses,2499932
+ssRN viruses,1885929
+ssRN viruses,2499674
+ssRN viruses,2499685
+ssRN viruses,1965067
+ssRN viruses,2499930
+ssRN viruses,1734441
+ssRN viruses,2499680
+ssRN viruses,11049
+ssRN viruses,2499675
+ssRN viruses,2499678
+ssRN viruses,11048
+ssRN viruses,2499676
+ssRN viruses,2499677
+ssRN viruses,1118369
+ssRN viruses,28344
+ssRN viruses,1806636
+ssRN viruses,1546178
+ssRN viruses,2732894
+ssRN viruses,2733262
+ssRN viruses,2734500
+ssRN viruses,2116345
+ssRN viruses,2732895
+ssRN viruses,2733263
+ssRN viruses,2734501
+ssRN viruses,2116442
+ssRN viruses,2732896
+ssRN viruses,2733264
+ssRN viruses,2734502
+ssRN viruses,2116440
+ssRN viruses,11118
+ssRN viruses,1508220
+ssRN viruses,2050018
+ssRN viruses,693996
+ssRN viruses,1913643
+ssRN viruses,1384461
+ssRN viruses,1244203
+ssRN viruses,1241933
+ssRN viruses,2501926
+ssRN viruses,1503292
+ssRN viruses,11137
+ssRN viruses,1699095
+ssRN viruses,1508224
+ssRN viruses,1964806
+ssRN viruses,1264898
+ssRN viruses,1913642
+ssRN viruses,766791
+ssRN viruses,694000
+ssRN viruses,393767
+ssRN viruses,694001
+ssRN viruses,2501927
+ssRN viruses,1503289
+ssRN viruses,2501928
+ssRN viruses,1503291
+ssRN viruses,2492658
+ssRN viruses,28295
+ssRN viruses,693999
+ssRN viruses,693998
+ssRN viruses,1503293
+ssRN viruses,277944
+ssRN viruses,2501929
+ssRN viruses,1920748
+ssRN viruses,693997
+ssRN viruses,11135
+ssRN viruses,1766554
+ssRN viruses,11149
+ssRN viruses,1508228
+ssRN viruses,694002
+ssRN viruses,694003
+ssRN viruses,11128
+ssRN viruses,31631
+ssRN viruses,2501960
+ssRN viruses,1590370
+ssRN viruses,290028
+ssRN viruses,694005
+ssRN viruses,11138
+ssRN viruses,11144
+ssRN viruses,502102
+ssRN viruses,1160968
+ssRN viruses,2501961
+ssRN viruses,1541205
+ssRN viruses,1965093
+ssRN viruses,1385427
+ssRN viruses,1335626
+ssRN viruses,1263720
+ssRN viruses,694008
+ssRN viruses,694007
+ssRN viruses,2501962
+ssRN viruses,1892416
+ssRN viruses,694006
+ssRN viruses,694009
+ssRN viruses,2697049
+ssRN viruses,227984
+ssRN viruses,864596
+ssRN viruses,1159901
+ssRN viruses,1159908
+ssRN viruses,574549
+ssRN viruses,572288
+ssRN viruses,1159902
+ssRN viruses,1965089
+ssRN viruses,1159905
+ssRN viruses,1297661
+ssRN viruses,572289
+ssRN viruses,1159907
+ssRN viruses,1159903
+ssRN viruses,1159906
+ssRN viruses,572290
+ssRN viruses,1159904
+ssRN viruses,694013
+ssRN viruses,694015
